Hallo!,Привет!
das Dorf,"деревня, поселок"
die Schule,школа
die Universität,университет
das Theater,театр
die Kirche,церковь
das Restaurant,ресторан
das Cafe,кафе
das Hotel,гостиница
die Bank,банк
das Kino,кинотеатр
das Krankenhaus,больница
die Polizei,полиция
das Postamt,почта
der Bahnhof,"станция, вокзал"
der Flughafen,аэропорт
das Geschäft,магазин
die Apotheke,аптека
der Markt,рынок
das Büro,офис
die Firma,фирма
der Betrieb,предприятие
die Straße,улица
der Weg,дорога
die Kreuzung,перекрёсток
die Haltestelle,остановка
der Gehsteig,тротуар
der Pfad,"тропа, тропинка"
der Garten,сад
der Park,парк
die Brücke,мост
der Fluss,река
der Wald,лес
das Feld,поле
der Berg,гора
der See,озеро
das Meer,море
der Ozean,океан
die Küste,"морской берег, побережье"
der Strand,пляж
der Sand,песок
die Insel,остров
die Grenze,граница
der Zoll,таможня
der Müll,мусор
die Abfälle,отходы
der Stein,камень
die Pflanze,растение
der Baum,дерево
das Gras,трава
die Blume,цветок
das Blatt,лист
die Wohnung,квартира
das Zimmer,комната
das Wohnzimmer,зал
das Schlafzimmer,спальня
das Badezimmer,ванная
die Dusche,душ
die Toilette,туалет
die Küche,кухня
der Flur,коридор
der Balkon,балкон
der Fußboden,пол
die Decke,потолок; одеяло
die Wand,стена
die Treppe,лестница
die Tür,дверь
das Fenster,окно
das Fensterbrett,подоконник
die Gardine,"занавес(ка), штора"
der Schalter,выключатель; окошко (кассы)
die Steckdose,розетка
der Wasserhahn,(водопроводный) кран
das Rohr,труба
der Schornstein,дымовая труба
die Möbel,мебель
der Tisch,стол
der Stuhl,стул
der Sessel,кресло
die Couch [кáуч],диван
das Bett,кровать
der Schrank,шкаф
das Regal,полка
der Spiegel,зеркало
der Teppich,ковер
der Kühlschrank,холодильник
die Mikrowelle,микроволновка
der Ofen,"печь, духовка"
der Herd,кухонная плита
die Lebensmittel,"еда, продукты"
das Brot,хлеб
die Butter,сливочное масло
das Öl,растительное масло
der Käse,сыр
die Wurst,колбаса
das Würstchen,сосиска
der Schinken,ветчина
das Fleisch,мясо
das Rindfleisch,говядина
das Schweinefleisch,свинина
das Lammfleisch,баранина
das Hähnchen,курица (мясо)
das Kotelett,"котлета, отбивная"
der Fisch,рыба
das Ei,яйцо
der Salat,салат
der Pilz,грибы
der Mais,кукуруза
der Brei,каша
die Haferflocken,овсянка
die Suppe,суп
das belegte Brötchen,бутерброд
der Reis,рис
die Nudeln,лапша
das Mehl,мука
das Gewürz,"специя, пряность"
der Pfeffer,перец
das Salz,соль
die Zwiebel,лук (репчатый)
der Knoblauch,чеснок
die Soße,соус
das Gemüse,овощи
die Kartoffeln,картофель
die Mohrrübe,морковь
die Zuckerrübe,свекла
die Tomate,помидор
die Gurke,огурец
der Kohl,капуста
die Zucchini [цукини],кабачок
die Aubergine [обэр'жинэ],баклажан
die Bohnen,бобы
die Erbsen,горох
die Nuss,орех
das Obst,фрукты
der Apfel,яблоко
die Birne,груша
die Banane,банан
die Beere,ягода
die Erdbeere,"клубника, земляника"
die Himbeere,малина
die Kirsche,вишня
die Pflaume,слива
die Trauben,виноград
die Aprikose,абрикос
der Pfirsich,персик
die Melone,дыня
die Wassermelone,арбуз
der Kürbis,тыква
die Orange [орáнжэ],апельсин
die Mandarine,мандарин
die Zitrone,лимон
die Ananas,ананас
der Zucker,сахар
der Honig,мёд
die Marmelade,варенье
der Kuchen,"торт, пирог"
das Brötchen,булочка
das Gebäck,печенье
die Süßigkeiten,"конфеты, сладости"
das Eis,мороженое; лёд
die Schokolade,шоколад
das Wasser,вода
das Sodawasser,газировка
der Saft,сок
der Wein,вино
der Tee,чай
der Kaffee,кофе
die Milch,молоко
die Sahne,сливки
der Joghurt,йогурт
der Quark,творог
das Geschirr,посуда
die Tasse,чашка
das Glas,стакан; стекло
der Becher,кружка
der Teller,тарелка
der Löffel,ложка
die Gabel,вилка
das Messer,нож
die Untertasse,блюдце
die Flasche,бутылка
die Serviette,салфетка
der Topf,кастрюля; горшок
die Pfanne,сковородка
der Kessel,чайник; котел
die Mahlzeit,"принятие пищи, еда"
das Frühstück,завтрак
das Mittagessen,обед
das Abendessen,ужин
der Transport,транспорт
das Flugzeug,самолет
das Auto,автомобиль
die Straßenbahn,трамвай
der Bus,автобус
der Zug,поезд
das Schiff,корабль
das Fahrrad,велосипед
die Zeit,время
die Minute,минута
die Stunde,час
die Woche,неделя
das Jahr,год
das Jahrhundert,"век, столетие"
das Mal,раз
vorgestern,позавчера
gestern,вчера
heute,сегодня
morgen,завтра
übermorgen,послезавтра
der Tag,день
der Morgen,утро
der Vormittag,время до полудня
der Nachmittag,время после полудня
der Abend,вечер
die Nacht,ночь
der Montag,понедельник
der Dienstag,вторник
der Mittwoch,среда
der Donnerstag,четверг
der Freitag,пятница
der Samstag,суббота
der Sonntag,воскресенье
der Monat,месяц
der Januar,январь
der Februar,февраль
der März,март
der April,апрель
der Mai,май
der Juni,июнь
der Juli,июль
der August,август
der September,сентябрь
der Oktober,октябрь
der November,ноябрь
der Dezember,декабрь
die Jahreszeit,время года
der Frühling,весна
der Sommer,лето
der Herbst,осень
der Winter,зима
das Fest,праздник
das Weihnachten,Рождество
das Ostern,Пасха
der Geburtstag,день рождения
das Formular,"формуляр, бланк"
der Name,"имя, фамилия; название;"
der Vorname,имя
der Familienname,фамилия
der Mädchenname,девичья фамилия
das Geburtsdatum,дата рождения
der Geburtsort,место рождения
die Adresse,адрес
der Familienstand,семейное положение
ledig,"холостой, незамужняя"
verheiratet,женатый / замужняя
geschieden,разведенный
verwitwet,овдовевший
die Sache,вещь
der Kugelschreiber,ручка
der Bleistift,карандаш
das Buch,книга
das Heft,тетрадь
das Notizbuch,блокнот
die Notiz,"пометка, запись"
das Wörterbuch,словарь
der Buchstabe,буква
der Brief,письмо
der Umschlag,конверт
das Papier,бумага
die Zeitung,газета
die Zeitschrift,журнал
das Telefon,телефон
das Handy [хэнди],сотовый телефон
die Uhr,часы
der Kamm,расчёска
der Fernseher,телевизор
das Bügeleisen,утюг
die Seife,мыло
das Radio,радио
die Tasche,сумка
der Rucksack,рюкзак
die Karte,карта
die Postkarte,открытка
der Koffer,чемодан
das Geschenk,подарок
die Kamera,камера
der Fotoapparat,фотоаппарат
die Vase,ваза
das Taschentuch,носовой платок
der Ball,мяч
der Luftballon,воздушный шар(ик)
das Spielzeug,игрушка
die Fahrkarte,билет (на поезд)
der Fahrschein,билет (на городской транспорт)
das Ticket,билет (на самолёт)
das Gepäck,багаж
die Batterie,"батарейка, аккумулятор"
der Eimer,ведро
die Leine,веревка
die Tafel,"доска (школьная), плитка (шоколада)"
das Brett,"доска, брусок"
der Kalender,календарь
der Laptop [лэптоп],ноутбук
die Bürste,щетка
die Pinsel,"кисть, кисточка"
die Tastatur,клавиатура
die Taste,клавиша
der Schlüssel,ключ
das Rad,колесо
das Lenkrad,руль
der Kofferraum,багажник
das Benzin,бензин
die Geldbörse,кошелек
die Brieftasche,бумажник
die Lampe,лампа
das Lineal,линейка
die Schaufel,лопата
die Maschine,машина; механизм
der Hammer,молоток
die Schere,ножницы
die Brille,очки
das Paket,посылка
der Stock,палка
der Klebstoff,клей
das Handtuch,полотенце
der Draht,проволока
das Kabel,"провод, кабель"
die Seite,страница
die Taschenlampe,карманный фонарь
der Kasten,ящик
die Kiste,коробка
das Laken,простыня
das Kissen,подушка
die Kleidung,одежда
die Schuhe,"обувь, туфли"
die Stiefel,сапоги
die Turnschuhe,кроссовки
der Mantel,пальто
das Kleid,платье
der Anzug,костюм
das Hemd,рубашка
die Bluse,блузка
der Rock,юбка
die Handschuhe,перчатки
die Fäustlinge,варежки
der Hut,шляпа
die Mütze,шапка; кепка
die Jacke,Куртка
die Strickjacke,кофта
das Sakko,пиджак
der Schal,шарф
die Socke,носок
der Pullover,свитер
das T-Shirt [тишёрт],футболка
die Krawatte,галстук
die Hose,"брюки, штаны"
die Shorts [шортс],шорты
die Strumpfhose,колготки
die Strümpfe,чулки
die Jeans [джинз],джинсы
die Kapuze,капюшон
der Gürtel,ремень
die Unterwäsche,нижнее белье
die Unterhose,трусы
der Büstenhaĺter,бюстгальтер
der Körper,тело
der Kopf,голова
das Gesicht,лицо
die Stirn,лоб
die Nase,нос
das Ohr,ухо
der Mund,рот
der Hals,горло; шея
das Auge,глаз
die Augenbraue,бровь
die Lippen,губы
der Zahn,зуб
das Haar,волос(ы)
der Schnurrbart,усы
der Bart,борода
die Wange,щека
das Kinn,подбородок
die Schulter,плечо
die Brust,грудь
das Herz,сердце
der Bauch,живот
der Rücken,спина
das Handgelenk,запястье
die Hand,"рука, кисть (руки)"
der Arm,рука (вся)
der Finger,палец (руки)
der Nagel,ноготь; гвоздь
der Ellenbogen,локоть
das Bein,нога
das Knie,колено
der Fuß,"нога, ступня; подножие"
die Ferse,пятка
die Zehe,палец (ноги)
der Knochen,кость
die Gesundheit,здоровье
gesund,здоровый
krank,больной
die Krankheit,болезнь
das Fieber,"жар, (высокая) температура"
der Husten,кашель
der Schnupfen,насморк
niesen,чихать
der Schmerz,боль
die Kopfschmerzen,головная боль
weh tun,болеть
die Grippe,грипп
die Erkältung,простуда
die Prellung,"синяк, ушиб"
das Ereignis,событие
die Geburt,рождение
das Spiel,игра
der Unterricht,"занятие (урок), занятия"
der Urlaub,отпуск
die Ferien,каникулы
die Party [пати],вечеринка
das Treffen,встреча
die Hochzeit,свадьба
die Verhandlungen,переговоры
die Reise,"поездка, путешествие"
der Tod,смерть
das Wetter,погода
die Sonne,солнце
der Mond,луна
der Wind,ветер
der Nebel,туман
der Regen,дождь
der Schnee,снег
der Himmel,небо
die Wolke,облако
die Luft,воздух
die Temperatur,температура
der Grad,градус
die Kunst,искусство
die Musik,музыка
das Lied,песня
die Literatur,литература
die Geschichte,"рассказ, история"
der Film,фильм; пленка
die Skulptur,скульптура
das Bild,картина
das Foto,фото
die Werbung,реклама
die Einkäufe,покупки
die Größe,размер
der Preis,цена
das Geld,деньги
das Bargeld,наличные (деньги)
der Rabatt,скидка
das Konto,счет (банковский)
die Rechnung,счёт (для оплаты)
das Trinkgeld,чаевые
das Messen,измерение
die Entfernung,расстояние
die Distanz,дистанция
die Länge,длина
die Höhe,высота
die Tiefe,глубина
die Stärke,сила
die Geschwindigkeit,скорость
der Kilometer,километр
das Kilogramm,килограмм
das Pfund,фунт
das Gefühl,чувство
der Spaß,веселье
die Freude,радость
die Angst,страх
die Traurigkeit,печаль
die Leidenschaft,"страсть, страстность"
das Vergnügen,удовольствие
das Glück,счастье
der Frieden,мир (покой)
lieben,любить
hassen,ненавидеть
die Welt,мир (планета)
die Seele,душа
das Leben,жизнь
das Wissen,знание
die Aufgabe,"задача, задание"
die Übung,упражнение
das Problem,проблема
die Gelegenheit,(благоприятная) возможность
die Fähigkeit,способность
die Schönheit,красота
die Gefahr,опасность
die Erfahrung,опыт
das Gedächtnis,память
die Erinnerung,воспоминание
der Nutzen,польза
der Vorteil,преимущество
die Gewohnheit,привычка
der Grund,"причина; грунт, земля"
die Konsequenz,(по)следствие
die Bedeutung,значение
das Mittel,средство
die Anstrengung,усилие
der Erfolg,успех
das Ziel,цель
das Wunder,чудо
die Wissenschaft,наука
die Sprache,язык
das Wort,слово
das Feuer,огонь
der Fall,случай; дело; падение
der Umstand,обстоятельство
der Gedanke,мысль
die Wahl,выбор
die Erlaubnis,разрешение
die Lieferung,доставка; поставка
die Leistung,"достижение, успех"
die Pflicht,обязанность
die Verzögerung,"задержка, промедление"
die Beziehung,отношение
die Note,"оценка, отметка, знак; нота"
der Fehler,ошибка
das Benehmen,поведение
die Einladung,приглашение
die Entwicklung,развитие
die Entscheidung,"решение, принятие решения"
die Lösung,решение (проблемы)
der Rat,совет
die Vereinbarung,соглашение; согласие
der Vertrag,договор
die Liste,список
der Streit,спор
der Test,"тест, испытание"
die Prüfung,экзамен
der Schritt,шаг
das Stück,кусок; штука
der Bereich,"область, сфера"
das Paar,пара
die Oberfläche,поверхность
die Ordnung,порядок
die Frage,вопрос
was,что
wer,кто
wo,где
wohin,куда
woher,откуда
wie,как
welcher,какой
warum,почему
wozu,зачем
wenn,когда; если
wie viel (wie viele),сколько
ich,я
du,ты
er,он
sie,она
es,оно
wir,мы
ihr,вы
sie,они
Sie,Вы
mein,мой
dein,твой
sein,его
ihr,её; их
unser,наш
euer,ваш
Ihr,Ваш
aus,из
von,от; передает род. падеж; с (такого-то времени)
seit,с (такого-то времени и поныне)
zu,к; слишком
in,в; через (такое-то время)
auf,на
unter,под
hinter,позади
mit,с
ohne,без
vor,"перед, до; (столько-то времени) назад"
nach,после; в (такой-то город или страну)
zwischen,между
neben,"возле, около"
für,для; на (такое-то время)
während,во время
um,вокруг
wegen,из-за
über,над; о; свыше
gegen,против
unter,под; среди
durch,через
pro,(километров) в (час)
die Zahl,"число, цифра; количество"
null,ноль
eins,один
zwei,два
drei,три
vier,четыре
fünf,пять
sechs,шесть
sieben,семь
acht,восемь
neun,девять
zehn,десять
elf,одиннадцать
zwölf,двенадцать
dreizehn,тринадцать
vierzehn,четырнадцать
fünfzehn,пятнадцать
sechzehn,шестнадцать
siebzehn,семнадцать
achtzehn,восемнадцать
neunzehn,девятнадцать
zwanzig,двадцать
dreißig,тридцать
vierzig,сорок
fünfzig,пятьдесят
sechzig,шестьдесят
siebzig,семьдесят
achtzig,восемьдесят
neunzig,девяносто
hundert,сто
tausend,тысяча
der erste,первый
der zweite,второй
der dritte,третий
der vierte,четвертый
die Farbe,"цвет, краска"
schwarz,чёрный
blau,голубой; синий
braun,коричневый
grün,зелёный
grau,серый
rot,красный
weiß,белый
gelb,желтый
rosa,розовый
violett,фиолетовый
alt,старый
jung,молодой
neu,новый
groß,большой
riesig,огромный
klein,маленький
dick,толстый; густой
dünn,тонкий
hungrig,голодный
satt,сытый
voll,полный
leer,пустой
gut,хороший; добрый
ausgezeichnet,отличный
erstaunlich,удивительный
wunderschön,"прекрасный, чудесный"
schlecht,плохой
schrecklich,ужасный
früh,ранний; рано
spät,поздний; поздно
letzt,"последний, прошлый"
nächst,следующий
frei,свободный
kostenlos,бесплатный
beschäftigt,занятый
heiß,жаркий; горячий
warm,тёплый
kalt,холодный
kühl,прохладный
scharf,острый
stumpf,тупой (нож)
dumm,глупый
klug,умный
schön,красивый
attraktiv,привлекательный
hübsch,симпатичный
hässlich,"уродливый, безобразный, отвратительный"
hoch,высокий
niedrig,низкий
lang,длинный; долгий
kurz,короткий
schwer,тяжёлый
leicht,лёгкий
schwierig,"трудный, тяжелый"
einfach,простой
dunkel,тёмный
hell,светлый
teuer,дорогой (о цене)
lieb,"дорогой, милый"
billig,дешёвый
arm,бедный
reich,богатый
gerade,прямой; прямо
links,cлева
rechts,справа
falsch,неправильный
schnell,быстрый
langsam,медленный
weich,мягкий
hart,твёрдый; жесткий; трудный
traurig,печальный
froh,радостный
glücklich,счастливый
lustig,веселый
böse,"сердитый, злой"
höflich,вежливый
grob,грубый
zart,нежный
mutig,смелый
scheu,застенчивый
fleißig,прилежный
faul,ленивый
nützlich,полезный
nutzlos,бесполезный
stark,сильный; крепкий
schwach,слабый
laut,"громкий, шумный"
leise,"тихий, негромкий"
ruhig,"тихий, спокойный"
eng,узкий
breit,широкий
sauber,чистый
schmutzig,грязный
müde,усталый
ehrlich,честный
bequem,уютный
seltsam,странный
eigen,собственный
schmackhaft,вкусный
bitter,горький
sauer,кислый
salzig,соленый
bereit,готовый (что-то сделать)
fertig,готовый (завершенный)
aufmerksam,внимательный
vorsichtig,осторожный
Haupt...,главный
fähig,способный
notwendig,необходимый
wichtig,важный
sicher,уверенный
echt,"настоящий, истинный; ""правда?"""
besser,лучше; более хороший
best,лучший
mehr,больше (по количеству); более
meist,наибольший (по количеству)
lieber,"лучше, охотней"
am liebsten,охотней всего
manchmal,иногда
nie,никогда
selten,редко
gewöhnlich,обычно
oft,часто
immer,всегда
bald,скоро
vor kurzem,недавно
weit,далеко
genau,точно
wahrscheinlich,вероятно
vielleicht,может быть
wirklich,действительно
natürlich,конечно
sicherlich,"наверняка, безусловно"
offensichtlich,очевидно
besonders,особенно
gern,охотно
ja,да
nein,нет
nicht,не
dieser,этот
jener,тот
viele,много (+ слово во множественном числе)
viel,много (+ слово в единственном числе)
wenig,мало
einige,некоторые
mehrere,несколько
jemand,кто-то
niemand,никто
etwas,что-то; немножко
nichts,ничто
alles,всё
alle,все
hier,здесь
hierher,сюда
dort,там
dorthin,туда
da,тут; так как
jetzt,сейчас
wieder,"снова, опять"
dann,потом
damals,тогда
als,чем (при сравнении); когда; в качестве
schon,уже
nur,только
noch,ещё
fast,почти
sehr,очень
jeder,каждый
anderer,другой
solcher,такой
so,так
also,итак
oben,вверху
unten,внизу
zusammen,вместе
vorwärts,вперед
vorne,впереди
sogar,даже
genug,достаточно
auch,"тоже, также"
und,и
oder,или
aber,но
jedoch,однако
weil,"потому что, так как"
deshalb,поэтому
ob,ли
obwohl,хотя
dass,что
sein,"быть, являться"
tun,делать (вообще)
machen,делать (что-то)
haben,иметь
können,мочь (быть в состоянии)
dürfen,мочь (иметь разрешение)
wollen,хотеть
mögen,"любить, нравиться"
möchten,хотелось бы
müssen,быть должным (по внутренним причинам)
sollen,быть должным (по внешним причинам)
haben zu,должен (что-то сделать)
sein zu,должен (быть сделанным)
brauchen,нуждаться
gehen,идти
fahren,ехать
finden,находить
halten,держать; останавливаться
stehen,стоять
sitzen,сидеть
hören,"слышать, слушать"
gewinnen,"побеждать, выигрывать"
erhalten,получать (офиц.)
bekommen,получать
kriegen,получать (разг.)
kommen,"приходить, приезжать"
werden,становиться; передаёт будущее время; передаёт страдательный залог
laufen,бежать
sehen,видеть
schreiben,писать
fallen,падать
tragen,носить
nehmen,брать
geben,давать
schenken,дарить
entschuldigen,прощать
vergessen,забывать
essen,кушать
liegen,лежать
legen,класть
lügen,лгать
führen,вести
füttern,кормить
sagen,сказать
bezahlen,оплачивать
trinken,пить
schwimmen,плавать
singen,петь
beginnen,начинать
klingen,звенеть
rufen,звать; кричать
anrufen,звонить
sinken,опускаться; погружаться
stinken,вонять
fliegen,летать
wissen,знать
kennen,"знать, быть знакомым"
zeichnen,"рисовать, чертить"
malen,рисовать
werfen,"кидать, бросать"
wachsen,расти
blasen,дуть
sprechen,"разговаривать, говорить"
wählen,выбирать
wecken,будить
brechen,ломать
zeigen,показывать
schneiden,резать
"setzen, sich",садиться
kosten,стоить
lassen,позволять; оставлять
schließen,закрывать
schlagen,"ударять, бить"
lesen,читать
senden,посылать
verbringen,проводить (время)
leihen,одолжить
bauen,строить
fühlen,чувствовать
treffen,встречать; попасть (в цель)
schlafen,спать
verlassen,покидать
kaufen,покупать
bringen,"приносить, привозить"
lehren,"учить, обучать"
denken,думать
kämpfen,бороться
fangen,ловить
befürchten,"бояться, опасаться"
"interessieren, sich",интересоваться
überraschen,удивлять
aufstehen,вставать
ziehen,тянуть; перемещаться
anziehen,надевать
ausziehen,снимать (одежду)
leben,жить
wohnen,проживать
arbeiten,работать
fernsehen,смотреть телевизор
waschen,"мыть, cтирать"
"rasieren, sich",бриться
versuchen,"пытаться, пробовать"
feiern,праздновать
lächeln,улыбаться
lachen,смеяться
weinen,плакать
lernen,учить(ся)
studieren,учиться (в вузе); изучать
ändern,(из)менять
öffnen,открывать
tanzen,танцевать
fragen,спрашивать
bitten,просить
bieten,предлагать
antworten,отвечать
sammeln,собирать
gefallen,нравиться
kochen,варить; готовить
backen,печь
riechen,пахнуть; нюхать
warten,ждать
erwarten,ожидать
danken,благодарить
spielen,играть
rauchen,курить
wünschen,желать
schreien,кричать
träumen,мечтать; видеть сон
hoffen,надеяться
"erinnern, sich",вспоминать
erinnern,напоминать
genießen,наслаждаться; пользоваться
erklären,объяснять
bleiben,оставаться
"erholen, sich",отдыхать
abbiegen,повернуть
heben,поднимать
glauben,"верить, полагать"
helfen,помогать
bestellen,заказывать
befehlen,приказывать
besuchen,посещать
prüfen,проверять
springen,прыгать
reisen,путешествовать
entscheiden,"решать, принимать решение"
lösen,решать (проблему); растворять
stimmen,"быть правильным, верным"
zustimmen,соглашаться
retten,спасать
speichern,"сохранять, накапливать"
sparen,"экономить, копить"
streiten,спорить
zählen,считать
"sorgen, sich",беспокоиться
scherzen,шутить
"bewegen, sich",двигаться
passen,"соответствовать, подходить"
sterben,умирать
beeinflussen,влиять
unterstützen,поддерживать
beschreiben,описывать
bestrafen,наказывать
vorhaben,намереваться
klagen,жаловаться
vermeiden,избегать
zurückkehren,возвращаться
stören,"беспокоить, мешать"
vorstellen,"представлять, знакомить"
kennenlernen,"узнавать, знакомиться"
überzeugen,убеждать
genehmigen,"позволять, санкционировать, одобрять"
schätzen,ценить
